i,n,acc,cor,alpha
0,505,0.5,0.35843526253718233,0.3488745980707396
0,1010,0.35563380281690143,0.009976229991815366,-0.39829946996466425
0,1515,0.5845070422535211,0.5365851607783152,0.507234762979684
0,2020,0.5915492957746479,0.4912320539293982,0.4918345989749645
0,2525,0.545774647887324,0.4871753148244573,0.4048729287471824
0,3030,0.6267605633802817,0.574665744839157,0.5717401057431837
0,3535,0.5880281690140845,0.48161510936697727,0.46074816832613186
0,4040,0.6725352112676056,0.5766639351277367,0.5725805980353772
0,4545,0.6654929577464789,0.6115061177239474,0.6076580898386392
0,5050,0.647887323943662,0.6286001315768482,0.6282007511095937
0,5555,0.6338028169014085,0.5940022196463524,0.5895563444309962
0,6038,0.6338028169014085,0.5361075685708394,0.5099209478684946
1,505,0.4823943661971831,0.39214758381157117,0.26525975665168877
1,1010,0.5,0.3726205231935943,0.31035188708783934
1,1515,0.5633802816901409,0.3917883561622669,0.39180334246666704
1,2020,0.5633802816901409,0.4390295530265483,0.4338142895610806
1,2525,0.5070422535211268,0.5229952700010617,0.34352062216008383
1,3030,0.5985915492957746,0.5560505931608773,0.5043171368748247
1,3535,0.5809859154929577,0.5075794187905144,0.48191482249114126
1,4040,0.5387323943661971,0.4971081717957803,0.4928589976629446
1,4545,0.6373239436619719,0.535465678368852,0.5196074580721906
1,5050,0.647887323943662,0.561578624460969,0.5507669332360536
1,5555,0.6514084507042254,0.6049526143378113,0.5889677794172841
1,6038,0.5985915492957746,0.5348513386193453,0.4671806478992786
2,505,0.4507042253521127,0.2943657521771523,0.14203968994764826
2,1010,0.44366197183098594,0.38963588212724737,0.09371694520837737
2,1515,0.5316901408450704,0.4044431015644752,0.31701860911035173
2,2020,0.545774647887324,0.4780944665408677,0.44942094262092724
2,2525,0.5211267605633803,0.3856783860143385,0.23112128146453093
2,3030,0.5845070422535211,0.5137900771991405,0.45251889168765747
2,3535,0.3485915492957746,nan,-0.4061187909740467
2,4040,0.6619718309859155,0.6072007928918595,0.6021506603154683
2,4545,0.647887323943662,0.5538784733580625,0.5219464529998046
2,5050,0.647887323943662,0.6001573583094021,0.589906097531076
2,5555,0.6443661971830986,0.5811334340898763,0.5699347464840109
2,6038,0.6161971830985915,0.5967715284872296,0.5674585876198779
3,505,0.44014084507042256,0.2536609160728022,0.15859958962333287
3,1010,0.47183098591549294,0.39723931793692485,0.2863296393468301
3,1515,0.40492957746478875,0.3232713627797919,-0.008819269986700018
3,2020,0.6091549295774648,0.49479001010585805,0.49528431850454613
3,2525,0.5880281690140845,0.5291481776502198,0.5183324593602516
3,3030,0.6161971830985915,0.5418527378405195,0.5378239329268293
3,3535,0.573943661971831,0.5084413674566765,0.442338519053855
3,4040,0.6091549295774648,0.5487835611273105,0.5400442477876106
3,4545,0.6408450704225352,0.5886632910673381,0.581252755179738
3,5050,0.6830985915492958,0.5783417814348344,0.5764354340021995
3,5555,0.6901408450704225,0.6322365476451269,0.6223231565641997
3,6038,0.6690140845070423,0.6054114265781154,0.5724283474477423
4,505,0.4471830985915493,0.3228212521308424,0.2611713958347375
4,1010,0.5598591549295775,0.5035394885495738,0.41265595118841636
4,1515,0.5422535211267606,0.3910099233907399,0.37372047244094486
4,2020,0.5633802816901409,0.5149589130036818,0.4285747767595566
4,2525,0.6408450704225352,0.5538850079061256,0.5518037841625789
4,3030,0.6338028169014085,0.5485661892570219,0.5369453924914676
4,3535,0.6126760563380281,0.5600269814955103,0.4841703056768558
4,4040,0.5563380281690141,0.5011228007658957,0.34031779097597725
4,4545,0.6584507042253521,0.6232922886262361,0.6236107839568299
4,5050,0.6795774647887324,0.61360628515362,0.6104154954770787
4,5555,0.6549295774647887,0.6019716198696414,0.5586469175340272
4,6038,0.6126760563380281,0.47569115335750456,0.42998396579369325
5,505,0.3732394366197183,0.25219140999086387,-0.13914002205071663
5,1010,0.3591549295774648,0.18901677188905155,0.001904392004059341
5,1515,0.5387323943661971,0.47062367998664784,0.3733305747777276
5,2020,0.6056338028169014,0.5488857684409112,0.5460318161488213
5,2525,0.5633802816901409,0.5078292516614867,0.48722380679720234
5,3030,0.573943661971831,0.546485358051609,0.545497566252028
5,3535,0.6056338028169014,0.47688614260534173,0.4735855827120131
5,4040,0.6302816901408451,0.5683936829150509,0.5639990165666668
5,4545,0.6514084507042254,0.6131722581427961,0.6105680075093295
5,5050,0.6866197183098591,0.6033575627534639,0.5925260510240747
5,5555,0.6619718309859155,0.6173992082551868,0.5829023629068213
5,6038,0.6267605633802817,0.506148744689547,0.4748679763737511
6,505,0.352112676056338,0.0070417854916867305,-0.4021993262108874
6,1010,0.528169014084507,0.3930962356750287,0.364999756536982
6,1515,0.4823943661971831,0.4223740554412622,0.3565332296929654
6,2020,0.5950704225352113,0.4722398112735789,0.45938674747818264
6,2525,0.545774647887324,0.3984677642762968,0.38040310830500257
6,3030,0.6232394366197183,0.5474405395077363,0.5465040186586574
6,3535,0.5880281690140845,0.5456920571345407,0.51677883547599
6,4040,0.6584507042253521,0.5486852763687949,0.5122895297077608
6,4545,0.6091549295774648,0.531467910166559,0.4990388271013275
6,5050,0.5985915492957746,0.5436853341992862,0.5330875968427715
6,5555,0.6866197183098591,0.631047574545455,0.6278648499645585
6,6038,0.6408450704225352,0.6062701899501322,0.5929904541218547
7,505,0.4859154929577465,0.3155501839663181,0.30326215483063235
7,1010,0.352112676056338,0.08822558086229658,-0.3248635952142107
7,1515,0.5316901408450704,0.5102257743053521,0.3782755611251595
7,2020,0.6267605633802817,0.5582780815916376,0.547958587854833
7,2525,0.6091549295774648,0.5781254437169289,0.5346865083707188
7,3030,0.6584507042253521,0.6141448675795447,0.6010946555054733
7,3535,0.6302816901408451,0.5801419879728726,0.5396004537941916
7,4040,0.6443661971830986,0.510887664101354,0.5061502930450272
