id,value,date,medtype,medium,headline,translation
10273,0,2015-02-10T18:05:27Z,Internet,4 NOS.nl,Dijsselbloem wil met Griekenland naar oplossing zoeken,Dijsselbloem wants to seek a solution with Greece.
10367,-1,2015-02-13T09:52:58Z,Internet,4 NOS.nl,Dijsselbloem pessimistisch over snelle stappen Grieken,Dijsselbloem pessimistic about quick steps by Greeks
10881,0,2015-03-05T10:59:19Z,Internet,4 NOS.nl,Dijsselbloem: niet extra bezuinigen,Dijsselbloem: no additional budget cuts
11191,1,2015-03-16T12:40:04Z,Internet,4 NOS.nl,Aandelenbeurzen zetten koersopmars voort,Stock markets continue their upward trend.
11745,1,2015-04-03T13:03:10Z,Internet,4 NOS.nl,Cyprus heft laatste restricties op na crisis,Cyprus lifts final restrictions after crisis
12255,-1,2015-04-22T10:00:30Z,Internet,4 NOS.nl,TSN Thuiszorg vreest honderden gedwongen ontslagen,TSN Home Care fears hundreds of forced layoffs.
12363,-1,2015-04-27T06:42:30Z,Internet,4 NOS.nl,Deutsche Bank bezuinigt miljarden na megaboete,Deutsche Bank cuts billions after mega fine.
12367,1,2015-04-27T11:56:21Z,Internet,4 NOS.nl,Spanje rekent op grootste groei in 8 jaar,Spain counts on the largest growth in 8 years.
12501,0,2015-05-02T13:32:05Z,Internet,4 NOS.nl,Van Baalen (VVD) wil Griekenland uit de euro,Van Baalen (VVD) wants Greece out of the euro.
12681,-1,2015-05-11T16:13:45Z,Internet,4 NOS.nl,'EU-ministers nog niet tevreden over Griekenland',EU ministers not yet satisfied with Greece
12727,1,2015-05-13T07:36:05Z,Internet,4 NOS.nl,"Economie groeit met 0,4 procent",Economy grows by 0.4 percent
13105,-1,2015-05-28T20:18:49Z,Internet,4 NOS.nl,Bonden bezorgd over flirt tussen Delhaize en Ahold,Unions concerned about the flirtation between Delhaize and Ahold
13623,0,2015-06-15T09:55:32Z,Internet,4 NOS.nl,Rabobank verhoogt hypotheekrente,Rabobank increases mortgage interest rates.
13921,0,2015-06-24T04:15:06Z,Internet,4 NOS.nl,'Familiebedrijf is niet uit op snelle winst',A family business is not seeking quick profit.
13997,1,2015-06-25T12:08:01Z,Internet,4 NOS.nl,Rechter draait loonsverlaging thuiszorgbedrijf terug,Judge reverses pay cut for home care company.
14315,0,2015-07-05T19:52:22Z,Internet,4 NOS.nl,"PvdA, D66: verder praten; PVV: nu Grexit","PvdA, D66: continue talking; PVV: Grexit now."
15261,0,2015-02-12T09:06:33Z,Internet,6 nrc.nl,Inflatie gedaald naar laagste niveau in 27 jaar: nul procent,Inflation dropped to its lowest level in 27 years: zero percent
15479,1,2015-02-20T17:15:49Z,Internet,6 nrc.nl,'Eurolanden eens over conceptakkoord Griekenland' ',Eurozone countries agree on draft agreement for Greece.
16435,0,2015-04-07T10:43:38Z,Internet,6 nrc.nl,Dijsselbloem wil nog niet zeggen wanneer ABN wel naar beurs kan,Dijsselbloem is not yet willing to say when ABN can go public.
16609,0,2015-04-14T13:00:17Z,Internet,6 nrc.nl,"Wankel herstel van wereldeconomie, zegt het IMF","Weak recovery of the global economy, says the IMF."
17355,1,2015-05-22T07:56:24Z,Internet,6 nrc.nl,Consumenten besteden wederom meer. Hun vertrouwen stijgt ook wee,Consumers are spending more again. Their confidence is also rising.
17403,-1,2015-05-24T10:11:42Z,Internet,6 nrc.nl,Griekse minister: we hebben het geld niet voor volgende IMF-beta,Greek minister: we do not have the money for the next IMF payment.
17825,-1,2015-06-11T03:01:07Z,Internet,6 nrc.nl,Griekenland en schuldeisers: meer onderhandelingen nodig,Greece and creditors: more negotiations needed
18167,0,2015-06-24T16:00:15Z,Internet,6 nrc.nl,"Grieken op hun 57ste met pensioen, en wÃ­j maar werken. Of nie","Greeks retire at 57, and we just keep working. Or not."
18203,-1,2015-06-26T07:55:26Z,Internet,6 nrc.nl,'Duizenden banen weg bij Air France' ',Thousands of jobs lost at Air France.
18231,-1,2015-06-27T15:57:49Z,Internet,6 nrc.nl,Hulpprogramma Griekenland wordt niet verlengd,The Greece assistance program will not be extended.
18267,-1,2015-06-30T03:30:43Z,Internet,6 nrc.nl,LIVE: ' 'Laatste bod' ' alweer afgewezen - Grieken overwegen jur,LIVE: 'Latest offer' already rejected - Greeks consider jur
18463,-1,2015-07-08T06:56:19Z,Internet,6 nrc.nl,Nieuwe maatregelen in China na vrije val beurs,New measures in China after stock market free fall
