i,perc,n,acc,cor,alpha
0,0.1,584,0.4154929577464789,0.3252749420251393,0.07471733302249683
0,0.1473684210526316,901,0.5246478873239436,0.4484817770465241,0.37809014360203175
0,0.19473684210526315,1145,0.4859154929577465,0.38163405761223085,0.3462044987620502
0,0.24210526315789474,1536,0.49295774647887325,0.4752482956599829,0.3727331887201736
0,0.2894736842105263,1778,0.5563380281690141,0.4374396036353893,0.42053143501550605
0,0.33684210526315794,2027,0.5246478873239436,0.36454184326459554,0.19523734426746575
0,0.38421052631578945,2369,0.5950704225352113,0.5122255411560804,0.4839541809604333
0,0.43157894736842106,2649,0.5985915492957746,0.5216460786393708,0.5109175475687103
0,0.4789473684210527,2924,0.5704225352112676,0.4460762893990938,0.43473246859624826
0,0.5263157894736842,3180,0.5985915492957746,0.5297337696897753,0.49189906086457813
0,0.5736842105263158,3474,0.6197183098591549,0.5604592810005208,0.5499900791463657
0,0.6210526315789474,3808,0.6197183098591549,0.5337212514459639,0.5201692524682652
0,0.6684210526315789,3975,0.5774647887323944,0.5017767725757097,0.4675301663802116
0,0.7157894736842105,4310,0.6302816901408451,0.5621708003479633,0.5514960449386679
0,0.7631578947368421,4636,0.6056338028169014,0.47642242564684195,0.4713917134618304
0,0.8105263157894737,4905,0.5950704225352113,0.5186705824978148,0.5063901466565701
0,0.8578947368421053,5198,0.6619718309859155,0.5883694119657338,0.5776860872032537
0,0.9052631578947369,5485,0.676056338028169,0.6480032850170716,0.6445181588126667
0,0.9526315789473684,5734,0.6126760563380281,0.5362183836646215,0.5042756539235413
0,1.0,6038,0.6373239436619719,0.5507552394361293,0.5392664266426643
1,0.1,577,0.47183098591549294,0.38747171648648654,0.21639986179891746
1,0.1473684210526316,883,0.5387323943661971,0.3917322916601089,0.37893784065642155
1,0.19473684210526315,1179,0.5563380281690141,0.4315025117084984,0.3799292376970086
1,0.24210526315789474,1465,0.5176056338028169,0.4114942083334528,0.367242350697755
1,0.2894736842105263,1734,0.5070422535211268,0.47530287336483046,0.4331242467404405
1,0.33684210526315794,2073,0.5669014084507042,0.4530481475937035,0.4365817304279934
1,0.38421052631578945,2295,0.5809859154929577,0.5103588150916295,0.49270761839396016
1,0.43157894736842106,2652,0.6056338028169014,0.49597834786892564,0.490726483762598
1,0.4789473684210527,2854,0.5105633802816901,0.3981381190645686,0.23657241634769732
1,0.5263157894736842,3152,0.5669014084507042,0.5039205828253471,0.4942900613840262
1,0.5736842105263158,3441,0.5985915492957746,0.5217441483165126,0.512277405303839
1,0.6210526315789474,3762,0.6126760563380281,0.4986899173817223,0.4905472269404033
1,0.6684210526315789,4012,0.5492957746478874,0.47033705179783153,0.32827140549273015
1,0.7157894736842105,4338,0.6514084507042254,0.6058571682770639,0.5992168566555964
1,0.7631578947368421,4561,0.6584507042253521,0.6339887780164076,0.6221561338289963
1,0.8105263157894737,4921,0.647887323943662,0.5695162478614952,0.5538719256833929
1,0.8578947368421053,5184,0.647887323943662,0.6204799938889696,0.6153165430700341
1,0.9052631578947369,5449,0.6584507042253521,0.565512804645026,0.543450374557833
1,0.9526315789473684,5736,0.6302816901408451,0.5700155361501401,0.5589564401422362
1,1.0,6038,0.6443661971830986,0.5991533211813855,0.5725810081008101
2,0.1,571,0.47183098591549294,0.3026295999588125,0.29950136900919344
2,0.1473684210526316,891,0.426056338028169,0.3389101294567709,0.14955805599986716
2,0.19473684210526315,1185,0.34507042253521125,0.269193959428479,-0.08755175773321433
2,0.24210526315789474,1465,0.5140845070422535,0.45999211431739423,0.4055435423628858
2,0.2894736842105263,1740,0.4894366197183099,0.3424444984580739,0.2076587847354554
2,0.33684210526315794,2043,0.5492957746478874,0.46970690228315515,0.41703948648122946
2,0.38421052631578945,2364,0.5070422535211268,0.4873218091831551,0.3213780544372735
2,0.43157894736842106,2591,0.5915492957746479,0.5052379869572295,0.477808336697618
2,0.4789473684210527,2824,0.5352112676056338,0.4711002854292699,0.4139490989708944
2,0.5263157894736842,3140,0.5985915492957746,0.5275219164847615,0.46847441149920144
2,0.5736842105263158,3447,0.5704225352112676,0.5059165895079073,0.49417959485628504
2,0.6210526315789474,3805,0.6232394366197183,0.5114442405083046,0.49703467153284664
2,0.6684210526315789,4026,0.5950704225352113,0.5591113992136377,0.5478391077606237
2,0.7157894736842105,4329,0.5704225352112676,0.47857910928821124,0.43420028033016667
2,0.7631578947368421,4602,0.6302816901408451,0.5583768704298145,0.5536056282978308
2,0.8105263157894737,4911,0.6408450704225352,0.5729217721563055,0.5601241272304112
2,0.8578947368421053,5137,0.5845070422535211,0.5206928384916228,0.49650126096685965
2,0.9052631578947369,5494,0.6443661971830986,0.5416927008730191,0.5356004846961673
2,0.9526315789473684,5762,0.6654929577464789,0.6300168804199051,0.6241707895197341
2,1.0,6038,0.6549295774647887,0.578046010555928,0.5726258308340229
3,0.1,622,0.36619718309859156,0.10945495461981666,-0.3215651248294722
3,0.1473684210526316,859,0.43309859154929575,0.34079964563251064,-0.028941104381230875
3,0.19473684210526315,1138,0.38028169014084506,0.18788300089461793,-0.16595379662052578
3,0.24210526315789474,1410,0.49295774647887325,0.4290818723995451,0.33356908438700483
3,0.2894736842105263,1738,0.5211267605633803,0.5007867392574493,0.35852751125905624
3,0.33684210526315794,2012,0.6056338028169014,0.506280987054681,0.49893039328616096
3,0.38421052631578945,2315,0.5563380281690141,0.43921064594866277,0.4093426174680629
3,0.43157894736842106,2625,0.5633802816901409,0.5085673056335872,0.45828131319347976
3,0.4789473684210527,2887,0.5809859154929577,0.4645039044342945,0.41332783090807956
3,0.5263157894736842,3228,0.6408450704225352,0.5494038729219964,0.5362005344191373
3,0.5736842105263158,3456,0.6443661971830986,0.585612542586477,0.5813180727339855
3,0.6210526315789474,3735,0.5985915492957746,0.5387145618638055,0.4677806827281549
3,0.6684210526315789,4056,0.6373239436619719,0.5865522677919084,0.5807413414750501
3,0.7157894736842105,4344,0.6161971830985915,0.5831222543619058,0.5541913632514819
3,0.7631578947368421,4618,0.528169014084507,0.45561027442020413,0.2931650110842231
3,0.8105263157894737,4872,0.6549295774647887,0.6132439455840805,0.5901260127574182
3,0.8578947368421053,5169,0.5950704225352113,0.5539528175433164,0.5100604863597087
3,0.9052631578947369,5430,0.6267605633802817,0.5591977602598097,0.5453416373754243
3,0.9526315789473684,5736,0.6267605633802817,0.5370158739753169,0.5165330439404678
3,1.0,6038,0.6690140845070423,0.6302719867957566,0.6082044845096137
4,0.1,600,0.352112676056338,0.007041785491686734,-0.4021993262108874
4,0.1473684210526316,900,0.3485915492957746,0.23798921470735065,-0.139174661888799
4,0.19473684210526315,1157,0.4471830985915493,0.3201657674219352,0.05888369643108693
4,0.24210526315789474,1401,0.573943661971831,0.4036858116355736,0.3800370158997691
4,0.2894736842105263,1760,0.5035211267605634,0.4320364509347745,0.32518362350380847
4,0.33684210526315794,2049,0.4964788732394366,0.3634936740606503,0.19466195687078525
4,0.38421052631578945,2285,0.5915492957746479,0.544651994169214,0.5111606770384297
4,0.43157894736842106,2618,0.5774647887323944,0.47203592783446646,0.46659108452334996
4,0.4789473684210527,2903,0.5845070422535211,0.5113048319727322,0.500176304654443
4,0.5263157894736842,3212,0.5880281690140845,0.49782436090759974,0.47266303616656635
4,0.5736842105263158,3449,0.6338028169014085,0.5633697369340485,0.5596802992942778
4,0.6210526315789474,3738,0.6408450704225352,0.5979835150906451,0.5915248777345008
4,0.6684210526315789,4050,0.6232394366197183,0.5275489295475385,0.48359779380568524
4,0.7157894736842105,4339,0.6373239436619719,0.5272937610538555,0.5246306534940632
4,0.7631578947368421,4668,0.6408450704225352,0.5477605972982339,0.5267427884615385
4,0.8105263157894737,4903,0.6443661971830986,0.5415447526014872,0.53504895351205
4,0.8578947368421053,5179,0.6514084507042254,0.608702134928758,0.5987630526709433
4,0.9052631578947369,5471,0.6373239436619719,0.5444578144385437,0.49656611039794607
4,0.9526315789473684,5774,0.6232394366197183,0.5295826631907462,0.5206154074019217
4,1.0,6038,0.6408450704225352,0.5926728079600118,0.5932671615138457
5,0.1,565,0.4612676056338028,0.27596667382105317,0.2269821553003908
5,0.1473684210526316,915,0.5176056338028169,0.41904278259132915,0.40549318466613815
5,0.19473684210526315,1163,0.45774647887323944,0.3633546767625405,0.12568735271013343
5,0.24210526315789474,1423,0.4471830985915493,0.3964525419489714,0.10842331861462318
5,0.2894736842105263,1802,0.4471830985915493,0.4230167592783448,0.09942717561453907
5,0.33684210526315794,2045,0.5704225352112676,0.46910253320024087,0.43095385535222397
5,0.38421052631578945,2308,0.5492957746478874,0.46755305920966667,0.45284426669850175
5,0.43157894736842106,2631,0.5563380281690141,0.47607611353517365,0.47423499801298186
5,0.4789473684210527,2899,0.5845070422535211,0.5471314665791704,0.5259510992150612
5,0.5263157894736842,3216,0.6302816901408451,0.4803837232721139,0.48013447432762835
5,0.5736842105263158,3439,0.5598591549295775,0.4964298678696467,0.3843915573699296
5,0.6210526315789474,3762,0.6302816901408451,0.5290473672186166,0.5221663580441549
5,0.6684210526315789,4048,0.6197183098591549,0.5749104605424307,0.556245434623813
5,0.7157894736842105,4335,0.6408450704225352,0.5876986083319927,0.5724186636661799
5,0.7631578947368421,4653,0.5950704225352113,0.5655963454352196,0.5522524054815823
5,0.8105263157894737,4875,0.5704225352112676,0.5037460534722717,0.37432993328740194
