id,date,medtype,medium,headline
10007,2015-02-02T10:18:37Z,Internet,4 NOS.nl,Rabobank voorspelt flinke stijging hypotheekrente
10009,2015-02-02T10:36:05Z,Internet,4 NOS.nl,Top Air France -KLM bespreekt kasstromen
10027,2015-02-02T22:23:04Z,Internet,4 NOS.nl,D66 wil reserves provincies aanspreken voor groei
10037,2015-02-03T11:12:24Z,Internet,4 NOS.nl,UWV: dit jaar meer banen
10047,2015-02-04T07:21:22Z,Internet,4 NOS.nl,KPN: dalende omzet en winst in 2014
10059,2015-02-04T10:12:18Z,Internet,4 NOS.nl,Proosten op geslaagde beursgang Bols
10099,2015-02-05T10:03:02Z,Internet,4 NOS.nl,Helft werknemers gaat na 65ste met pensioen
10101,2015-02-05T10:51:59Z,Internet,4 NOS.nl,Europa groeit voorzichtig dankzij lage energieprijzen
10103,2015-02-05T10:55:15Z,Internet,4 NOS.nl,Ongerustheid op Griekse financiële markten
10111,2015-02-05T13:21:04Z,Internet,4 NOS.nl,Dijsselbloem: ECB heeft regels toegepast
10113,2015-02-05T13:53:22Z,Internet,4 NOS.nl,Export voedingsmiddelen naar Rusland opgedroogd
10119,2015-02-05T17:12:50Z,Internet,4 NOS.nl,Rust keert weer op beurzen
10133,2015-02-06T08:28:37Z,Internet,4 NOS.nl,Niemand weet wat Poetin met Oekraïne wil'
10151,2015-02-06T16:36:32Z,Internet,4 NOS.nl,Vakbond: Blokker voert 'stille' reorganisatie uit
10159,2015-02-06T18:29:10Z,Internet,4 NOS.nl,Teeven houdt vast aan korten op rechtsbijstand
10213,2015-02-09T09:35:05Z,Internet,4 NOS.nl,Chinese economie verder verzwakt
10219,2015-02-09T14:26:33Z,Internet,4 NOS.nl,V&D is voorlopig gered
10223,2015-02-09T15:50:04Z,Internet,4 NOS.nl,Bonden zetten kort geding tegen V&D gewoon door
10229,2015-02-09T17:03:31Z,Internet,4 NOS.nl,'Na vandaag maak ik de 50 jaar vol'
10235,2015-02-09T17:30:56Z,Internet,4 NOS.nl,440 werknemers weg bij Blokker
10239,2015-02-09T20:27:20Z,Internet,4 NOS.nl,Bonden willen 'stevig' sociaal plan Blokker
10247,2015-02-10T07:42:18Z,Internet,4 NOS.nl,Altijd groot vertrouwen in oplossing V&D gehad'
10253,2015-02-10T10:27:43Z,Internet,4 NOS.nl,'Olieprijs gaat weer omhoog'
10269,2015-02-10T17:49:40Z,Internet,4 NOS.nl,Overleg Blokker levert nog niets op
10273,2015-02-10T18:05:27Z,Internet,4 NOS.nl,Dijsselbloem wil met Griekenland naar oplossing zoeken
10279,2015-02-10T21:22:32Z,Internet,4 NOS.nl,Koning Felipe levert deel salaris in wegens crisis
10281,2015-02-10T23:27:57Z,Internet,4 NOS.nl,Steeds meer mensen met twee banen
10289,2015-02-11T05:30:31Z,Internet,4 NOS.nl,Meer export biologische producten
10291,2015-02-11T06:23:22Z,Internet,4 NOS.nl,Bouwen Athene en Brussel een brug?
10293,2015-02-11T06:42:14Z,Internet,4 NOS.nl,"Minder winst bij ING Bank, wel weer dividend"
10329,2015-02-12T07:17:58Z,Internet,4 NOS.nl,Rabobank verwacht dat huizenprijzen verder stijgen
10335,2015-02-12T08:56:25Z,Internet,4 NOS.nl,Laagste inflatie in 27 jaar
10351,2015-02-12T19:48:27Z,Internet,4 NOS.nl,Frankrijk bewapent Egypte voor miljarden euro's
10355,2015-02-12T22:09:07Z,Internet,4 NOS.nl,Varoufakis: verstandig compromis bereikt
10359,2015-02-13T07:31:48Z,Internet,4 NOS.nl,"Economie groeit 0,5 procent in vierde kwartaal"
10365,2015-02-13T09:22:38Z,Internet,4 NOS.nl,Kamp: signalen economie voorzichtig op groen
10367,2015-02-13T09:52:58Z,Internet,4 NOS.nl,Dijsselbloem pessimistisch over snelle stappen Grieken
10381,2015-02-13T19:15:44Z,Internet,4 NOS.nl,De kleinste cao beschermt eeuwenoud vakmanschap
10399,2015-02-15T09:21:15Z,Internet,4 NOS.nl,Mogelijk grootste bankroof aller tijden
10425,2015-02-16T11:07:06Z,Internet,4 NOS.nl,Japanse economie krabbelt op uit recessie
10431,2015-02-16T12:12:34Z,Internet,4 NOS.nl,V&D en bonden moeten
10437,2015-02-16T14:03:36Z,Internet,4 NOS.nl,45 miljoen voor banen in Groningen
10457,2015-02-17T10:57:03Z,Internet,4 NOS.nl,Koninklijk bezoek in Groningen en Drenthe
10501,2015-02-18T12:10:55Z,Internet,4 NOS.nl,Snel nieuw voorstel Griekenland verwacht
10509,2015-02-18T16:49:28Z,Internet,4 NOS.nl,Bonden akkoord met ontslagen Blokker
10513,2015-02-19T04:19:46Z,Internet,4 NOS.nl,Grieken moeten vandaag over de brug komen
10523,2015-02-19T12:09:49Z,Internet,4 NOS.nl,Grieken doen concessies aan Eurogroep
10541,2015-02-20T06:16:01Z,Internet,4 NOS.nl,ABN Amro verdubbelt de winst
10549,2015-02-20T10:47:26Z,Internet,4 NOS.nl,V&D verlaagt de lonen nog niet in februari
10551,2015-02-20T11:49:51Z,Internet,4 NOS.nl,Griekenland
10555,2015-02-20T15:11:34Z,Internet,4 NOS.nl,NOS-enquÃªte: hoe denkt u over de veranderingen in de zorg?
