"","id","id.1","headline","google","deepl","gold","dutch_lemmas","google_lemmas","deepl_lemmas","nrc_postive_nl","nrc_negative_nl","nrc_fear_nl","nrc_trust_nl","nrc_postive_google","nrc_negative_google","nrc_fear_google","nrc_trust_google","nrc_postive_deepl","nrc_negative_deepl","nrc_fear_deepl","nrc_trust_deepl","db_hope_nl","db_fear_nl","db_hope_google","db_fear_google","db_hope_deepl","db_fear_deepl","LMD_negative_google","LMD_positive_google","LMD_uncertainty_google","LMD_littigious_google","LMD_constraining_google","LMD_superfluous_google","LMD_interesting_google","LMD_modelwordsstrong_google","LMD_negativedeepl_","LMD_positive_deepl","LMD_uncertainty_deepl","LMD_littigious_deepl","LMD_constraining_deepl","LMD_superfluous_deepl","LMD_interesting_deepl","LMD_modelwordsstrong_deepl","AFINN_negative_google","AFINN_positive_google","AFINN_negative_deepl","AFINN_positive_deepl","HuLiu_negative_google","HuLiu_positive_google","HuLiu_negative_deepl","HuLiu_positive_deepl","LSD_negative_google","LSD_positive_google","LSD_negative_deepl","LSD_positive_deepl","geninq_positive_google","geninq_negative_google","geninq_deepl_positive","geninq_deepl_negative","rid_positiveaffect_google","rid_anxiety_google","rid_sadness_google","rid_glory_google","rid_positiveaffect_deepl","rid_anxiety_deepl","rid_sadness_deepl","rid_glory_deepl"
"1",1,10367,"Dijsselbloem pessimistisch over snelle stappen Grieken","Dijsselbloem pessimistic about fast steps Greeks","Dijsselbloem pessimistic about quick steps Greeks",-1,"Dijsselbloem pessimistisch over snel stap Griek","Dijsselbloem pessimistic about fast step Greeks","Dijsselbloem pessimistic about quick step Greeks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"2",2,11191,"Aandelenbeurzen zetten koersopmars voort","Stock exchanges continue to grow","Equity markets continue price march",1,"Aandelenbeurzen zetten koersopmars voren","stock exchange continue to grow","equity market continue price march",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",3,12363,"Deutsche Bank bezuinigt miljarden na megaboete","Deutsche Bank cuts billions after mega fine","Deutsche Bank cuts billions after megaboete",-1,"Deutsche Bank bezuinigen miljard na megaboete","Deutsche Bank cut billion after mega fine","Deutsche Bank cut billion after megaboete",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
"4",4,12367,"Spanje rekent op grootste groei in 8 jaar","Spain is counting on the largest growth in 8 years","Spain expects largest growth in 8 years",1,"Spanje rekenen op groot groei in 8 jaar","Spain be count on the largest growth in 8 year","Spain expect largest growth in 8 year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,12501,"Van Baalen (VVD) wil Griekenland uit de euro","Van Baalen (VVD) wants Greece out of the euro","Van Baalen (VVD) wants Greece to get out of the euro",0,"van Baalen ( VVD ) willen Griekenland uit de euro","Van Baalen ( VVD ) want Greece out of the euro","Van Baalen ( VVD ) want Greece to get out of the euro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",6,12681,"EU-ministers nog niet tevreden over Griekenland","EU ministers not yet satisfied with Greece","EU ministers not yet satisfied with Greece",-1,"EU-ministers nog niet tevreden over Griekenland","EU minister not yet satisfied with Greece","EU minister not yet satisfied with Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
"7",7,13105,"Bonden bezorgd over flirt tussen Delhaize en Ahold","Bounds concerned about flirt between Delhaize and Ahold","Unions concerned about flirtation between Delhaize and Ahold",-1,"Bonden bezorgen over flirt tussen Delhaize en Ahold","bound concerned about flirt between Delhaize and Ahold","Unions concerned about flirtation between Delhaize and Ahold",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"8",8,15261,"Inflatie gedaald naar laagste niveau in 27 jaar: nul procent","Inflation dropped to lowest level in 27 years: zero percent","Inflation dropped to lowest level in 27 years: zero percent",1,"Inflatie dalen naar laag niveau in 27 jaar : nul procent","inflation drop to lowest level in 27 year : zero percent","inflation drop to lowest level in 27 year : zero percent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"9",9,18751,"Duizenden Grieken protesteren in Athene tegen bezuinigingen","Thousands of Greeks are protesting against austerity in Athens","Thousands of Greeks protest in Athens against austerity measures",-1,"duizend Grieken protesteren in Athene tegen bezuiniging","thousand of Greeks be protest against austerity in Athens","thousand of Greeks protest in Athens against austerity measure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0
"10",10,21653,"Dow weer boven 18.000 punten","Dow again above 18,000 points","Dow weather above 18,000 points",0,"Dow weer boven 18.000 punt","Dow again above 18,000 point","Dow weather above 18,000 point",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
