Words,Translation,All_mean_valence,All_std_valence,All_N_valence,All_mean_arousal,All_std_arousal,All_N_arousal,All_mean_power,All_std_power,All_N_power,All_mean_age_of_acquisition,All_std_age_of_acquisition,All_N_age_of_acquisition,Men_mean_valence,Men_std_valence,Men_N_valence,Men_mean_arousal,Men_std_arousal,Men_N_arousal,Men_mean_power,Men_std_power,Men_N_power,Men_mean_age_of_acquisition,Men_std_age_of_acquisition,Men_N_age_of_acquisition,Women_mean_valence,Women_std_valence,Women_N_valence,Women_mean_arousal,Women_std_arousal,Women_N_arousal,Women_mean_power,Women_std_power,Women_N_power,Women_mean_age_of_acquisition,Women_std_age_of_acquisition,Women_N_age_of_acquisition,Freq(Log10),Freq (1E6),Length,N (%),Grammatical category
aaien,to stroke,5.20,0.74,64,3.97,1.25,64,3.44,1.13,64,4.71,2.05,32,5.22,0.75,32,3.78,1.26,32,3.44,1.19,32,4.88,2.22,16,5.19,0.74,32,4.16,1.22,32,3.44,1.08,32,4.81,2.17,16,0.32,2.10,5,0.0,V
aal,eel,3.42,0.75,64,3.90,1.48,60,3.44,1.12,57,8.03,2.39,31,3.44,0.67,32,4.26,1.21,31,3.43,1.14,30,7.81,2.88,16,3.41,0.84,32,3.52,1.66,29,3.44,1.12,27,8.60,2.06,15,-0.10,0.80,3,5.4,N
aalmoes,alms,3.30,0.99,64,3.10,1.16,61,2.81,1.31,64,9.38,2.66,30,3.19,1.06,32,3.20,1.10,30,2.63,1.29,32,9.50,3.20,16,3.41,0.91,32,3.00,1.24,31,3.00,1.32,32,9.71,2.58,14,-0.02,0.96,7,2.2,N
aandachtig,attentive,5.30,0.68,64,4.88,1.09,64,4.88,0.86,64,7.52,2.08,32,5.25,0.67,32,4.81,1.06,32,4.56,0.98,32,7.75,2.49,16,5.34,0.70,32,4.94,1.13,32,5.19,0.59,32,7.63,2.09,16,0.37,2.33,10,0.0,A
aangenaam,pleasant,5.94,0.71,64,3.72,1.30,64,4.67,1.07,64,8.19,2.06,32,5.84,0.77,32,3.47,1.39,32,4.31,1.12,32,8.00,2.63,16,6.03,0.65,32,3.97,1.18,32,5.03,0.90,32,8.69,1.66,16,1.76,57.86,9,0.0,A
aanslag,assault,1.88,0.95,64,6.06,0.99,64,5.66,1.25,64,8.29,2.58,32,2.03,0.90,32,5.91,1.12,32,5.50,1.34,32,8.06,3.04,16,1.72,0.99,32,6.22,0.83,32,5.81,1.15,32,8.75,2.18,16,1.23,17.06,7,0.0,N
aanstoot,offense,3.05,0.82,64,4.86,1.00,63,4.62,1.01,63,9.42,2.74,32,2.94,0.72,32,4.69,1.12,32,4.65,1.05,31,8.88,3.03,16,3.16,0.92,32,5.03,0.84,31,4.59,0.98,32,10.19,2.40,16,-0.05,0.89,8,0.9,N
aanstotelijk,offensive,3.16,1.10,63,5.03,0.94,62,4.44,1.35,63,9.83,2.96,30,3.25,1.05,32,4.88,1.16,32,4.34,1.33,32,9.63,3.69,16,3.06,1.15,31,5.20,0.61,30,4.55,1.39,31,10.36,2.06,14,-1.64,0.02,12,2.7,A
aantrekkelijk,attractive,6.19,0.71,64,4.86,1.18,64,5.28,0.90,64,8.87,1.89,32,6.03,0.69,32,4.88,1.31,32,5.16,0.99,32,8.38,2.28,16,6.34,0.70,32,4.84,1.05,32,5.41,0.80,32,9.63,1.50,16,1.24,17.20,13,0.0,A
aanval,attack,2.59,0.97,64,5.89,1.18,64,5.38,1.03,64,6.13,2.08,32,2.75,1.05,32,5.81,1.12,32,5.31,1.31,32,5.81,2.37,16,2.44,0.88,32,5.97,1.26,32,5.44,0.67,32,6.81,2.17,16,1.68,47.59,6,0.0,N
