ID;icr;Codeur;V8;Length;Source;outlet;DFT;Pagina;date;Day_in_2015;Economisch;Context;Toon_Kop;Posit_Nega;Hoofd_OW;CAP_onderw;Locatie;Locatie_TEXT;Onzekerhei;headline
10009;1;6;8/29/2016 11:30:41;133;2;24; ; ;2/2/2015 11:36:05;33;0; ; ; ; ; ; ; ; ;Top Air France -KLM bespreekt kasstromen
10009;1;9;8/20/2016 11:42:20;133;2;24; ; ;2/2/2015 11:36:05;33;0; ; ; ; ; ; ; ; ;Top Air France -KLM bespreekt kasstromen
10009;1;21;8/30/2016 21:54:39;133;2;24; ; ;2/2/2015 11:36:05;33;0; ; ; ; ; ; ; ; ;Top Air France -KLM bespreekt kasstromen
10133;1;6;8/29/2016 12:27:34;292;2;24; ; ;2/6/2015 9:28:37;37;0; ; ; ; ; ; ; ; ;Niemand weet wat Poetin met Oekraïne wil'
10133;1;9;8/21/2016 16:32:03;292;2;24; ; ;2/6/2015 9:28:37;37;0; ; ; ; ; ; ; ; ;Niemand weet wat Poetin met Oekraïne wil'
10133;1;21;8/31/2016 11:36:45;292;2;24; ; ;2/6/2015 9:28:37;37;0; ; ; ; ; ; ; ; ;Niemand weet wat Poetin met Oekraïne wil'
10273;1;6;8/25/2016 10:21:04;210;2;24; ; ;2/10/2015 19:05:27;41;1;1;1;9;10;112;53; ;1;Dijsselbloem wil met Griekenland naar oplossing zoeken
10273;1;9;8/19/2016 16:53:41;210;2;24; ; ;2/10/2015 19:05:27;41;1;1;4;9;10;105;53; ;0;Dijsselbloem wil met Griekenland naar oplossing zoeken
10273;1;21;8/29/2016 22:54:49;210;2;24; ; ;2/10/2015 19:05:27;41;0; ; ; ; ; ; ; ; ;Dijsselbloem wil met Griekenland naar oplossing zoeken
10351;1;6;8/16/2016 9:15:49;178;2;24; ; ;2/12/2015 20:48:27;43;0; ; ; ; ; ; ; ; ;Frankrijk bewapent Egypte voor miljarden euro's
10351;1;9;8/17/2016 18:16:05;178;2;24; ; ;2/12/2015 20:48:27;43;0; ; ; ; ; ; ; ; ;Frankrijk bewapent Egypte voor miljarden euro's
10351;1;21;8/23/2016 17:55:16;178;2;24; ; ;2/12/2015 20:48:27;43;0; ; ; ; ; ; ; ; ;Frankrijk bewapent Egypte voor miljarden euro's
10367;1;6;8/30/2016 10:56:50;152;2;24; ; ;2/13/2015 9:52:58;44;1;1;0;9;10;112;53; ;0;Dijsselbloem pessimistisch over snelle stappen Grieken
10367;1;9;8/21/2016 21:49:55;152;2;24; ; ;2/13/2015 9:52:58;44;1;1;0;9;10;112;30; ;0;Dijsselbloem pessimistisch over snelle stappen Grieken
10367;1;21;8/31/2016 12:51:58;152;2;24; ; ;2/13/2015 9:52:58;44;1;1;9;9;10;112;53; ;0;Dijsselbloem pessimistisch over snelle stappen Grieken
10399;1;6;8/30/2016 10:55:06;357;2;24; ; ;2/15/2015 10:21:15;46;0; ; ; ; ; ; ; ; ;Mogelijk grootste bankroof aller tijden
10399;1;9;8/21/2016 21:48:43;357;2;24; ; ;2/15/2015 10:21:15;46;0; ; ; ; ; ; ; ; ;Mogelijk grootste bankroof aller tijden
10399;1;21;8/31/2016 12:50:59;357;2;24; ; ;2/15/2015 10:21:15;46;0; ; ; ; ; ; ; ; ;Mogelijk grootste bankroof aller tijden
