section,name,acc,alpha,pos_precision,pos_recall,pos_f1,neut_precision,neut_recall,neut_f1,neg_precision,neg_recall,neg_f1
English Dictionaries (translated using deepl),AFINN,0.4295774647887324,0.27298263479318974,0.35443037974683544,0.3835616438356164,0.368421052631579,0.4028776978417266,0.5,0.4462151394422311,0.5757575757575758,0.3838383838383838,0.46060606060606063
English Dictionaries (translated using deepl),DamstraBoukes,0.4154929577464789,0.07152909245097827,0.6666666666666666,0.0821917808219178,0.14634146341463414,0.40293040293040294,0.9821428571428571,0.5714285714285714,1,0.020202020202020204,0.03960396039603961
English Dictionaries (translated using deepl),GenInq,0.4084507042253521,0.26341191610986636,0.313953488372093,0.3698630136986301,0.3396226415094339,0.3783783783783784,0.375,0.37668161434977576,0.5402298850574713,0.47474747474747475,0.5053763440860215
English Dictionaries (translated using deepl),HuLiu,0.4647887323943662,0.33933969241428186,0.4,0.3013698630136986,0.34375,0.41916167664670656,0.625,0.5017921146953405,0.6451612903225806,0.40404040404040403,0.49689440993788814
English Dictionaries (translated using deepl),LoughranMcDonald,0.5,0.293014381662023,0.5,0.136986301369863,0.21505376344086022,0.4564102564102564,0.7946428571428571,0.5798045602605864,0.6231884057971014,0.43434343434343436,0.5119047619047619
English Dictionaries (translated using deepl),LSD,0.4612676056338028,0.3284217158523203,0.3918918918918919,0.3972602739726027,0.39455782312925164,0.4236111111111111,0.5446428571428571,0.4765625,0.6212121212121212,0.41414141414141414,0.49696969696969695
English Dictionaries (translated using deepl),Muddiman,0.4823943661971831,0.2661701626371977,0.4827586206896552,0.3835616438356164,0.42748091603053434,0.45664739884393063,0.7053571428571429,0.5543859649122808,0.5660377358490566,0.30303030303030304,0.3947368421052631
English Dictionaries (translated using deepl),NRC,0.4225352112676056,0.22938404309230065,0.3435114503816794,0.6164383561643836,0.4411764705882353,0.42857142857142855,0.32142857142857145,0.3673469387755102,0.5652173913043478,0.3939393939393939,0.4642857142857143
English Dictionaries (translated using deepl),RID,0.4154929577464789,0.05805876821048761,0,0,0,0.4052044609665427,0.9732142857142857,0.5721784776902887,0.8181818181818182,0.09090909090909091,0.16363636363636364
Dictionaries,DANEW,0.41901408450704225,0.1015850801381446,0.75,0.0821917808219178,0.14814814814814814,0.4022140221402214,0.9732142857142857,0.5691906005221932,0.8,0.04040404040404041,0.07692307692307693
Dictionaries,DamstraBoukes,0.4084507042253521,0.049992001860489355,0.8333333333333334,0.0684931506849315,0.12658227848101267,0.39928057553956836,0.9910714285714286,0.5692307692307693,0,0,0
Dictionaries,Muddiman,0.4894366197183099,0.31116747604913675,0.5283018867924528,0.3835616438356164,0.4444444444444444,0.45569620253164556,0.6428571428571429,0.5333333333333333,0.5342465753424658,0.3939393939393939,0.4534883720930233
Dictionaries,NRC,0.47183098591549294,0.31575666436704986,0.39,0.5342465753424658,0.45086705202312144,0.46226415094339623,0.4375,0.44954128440366975,0.5897435897435898,0.46464646464646464,0.519774011299435
Dictionaries,Pattern,0.3873239436619718,0.06729819516438151,0.42857142857142855,0.0821917808219178,0.13793103448275865,0.38549618320610685,0.9017857142857143,0.5401069518716577,0.375,0.030303030303030304,0.05607476635514019
Dictionaries,Polyglot,0.4154929577464789,0.26290149930713924,0.3770491803278688,0.3150684931506849,0.34328358208955223,0.38509316770186336,0.5535714285714286,0.4542124542124542,0.532258064516129,0.3333333333333333,0.40993788819875776
Machine Learning,CNN,0.6313380281690141,0.4950503276046695,0.6781230887158233,0.48904109589041095,0.5627688426050569,0.5815663524639849,0.7758928571428572,0.6614929921145772,0.7162192704442766,0.5727272727272728,0.6309820994635689
Machine Learning,NB,0.5809859154929577,0.39495247683899704,0.7352941176470589,0.3424657534246575,0.4672897196261682,0.5224719101123596,0.8303571428571429,0.6413793103448276,0.6527777777777778,0.47474747474747475,0.5497076023391813
Machine Learning,SVM,0.573943661971831,0.40528612716356127,0.6923076923076923,0.3698630136986301,0.48214285714285715,0.5176470588235295,0.7857142857142857,0.624113475177305,0.64,0.48484848484848486,0.5517241379310344
Crowd-Coding,Single Coder,0.7190140845070423,0.7524929920112865,0.6925990578547223,0.8438356164383561,0.7598632092961407,0.6851106964314512,0.5821428571428572,0.6287556777007393,0.7771056547740887,0.7818181818181819,0.7793958039117954
Crowd-Coding,Vote (3 Coders),0.768661971830986,0.807326089239663,0.7338124042182412,0.8917808219178082,0.8048516598366313,0.7391408980523688,0.6517857142857143,0.6924699807792434,0.8320292623792285,0.8101010101010101,0.8207675738950814
Crowd-Coding,Vote (5 Coders),0.7676056338028169,0.8135207311283431,0.7333333333333333,0.9041095890410958,0.8098159509202454,0.73,0.6517857142857143,0.6886792452830188,0.8404255319148937,0.797979797979798,0.8186528497409327
Manual Coding,Single Coder,0.8178571428571428,0.8157731558025376,0.875,0.863013698630137,0.8689655172413793,0.7631578947368421,0.8055555555555556,0.7837837837837838,0.8404255319148937,0.797979797979798,0.8186528497409327
Manual Coding,Vote (3 Coders),0.8785046728971962,0.9004497508673825,0.96875,0.9117647058823529,0.9393939393939394,0.8181818181818182,0.8780487804878049,0.8470588235294119,0.8709677419354839,0.84375,0.8571428571428571
